hisse,t_is_hac,t_p_akısı,i_hac_oranı,h_b_p_g
GLYHO,48598803,-9264539.0,-19.0,-3.28
FLAP,21494990,4528437.0,21.0,1.9
ODAS,219591711,-17501111.0,-8.0,-0.44
BRLSM,20115263,-2222343.0,-11.0,-1.56
GLRYH,145623271,-23131512.0,-16.0,-0.46
PSDTC,11113309,745843.0,7.000000000000001,5.23
ATAGY,4648816,-25235.0,-1.0,-0.06
Z30EA,175803817,-75363889.0,-43.0,-56.64
EGGUB,27140234,5322084.0,20.0,13.45
ERCB,33322544,-2209892.0,-7.000000000000001,-5.97
AKSGY,23375867,784016.0,3.0,0.24
EGEEN,122648478,2522625.0,2.0,192.23
OYAYO,5852280,-830811.0,-14.000000000000002,-3.43
ECZYT,45951157,-243998.0,-1.0,-1.0
SEKFK,4037213,99481.0,2.0,0.17
DAGI,23371812,-43321.0,-0.0,-0.03
KERVN,172085999,0.0,0.0,0.0
SKTAS,33316072,3901957.0,12.0,0.54
DURDO,67585458,-2161536.0,-3.0,-0.56
INDES,35312419,-1913386.0,-5.0,-0.43
YGYO,80197269,2561763.0,3.0,0.25
NATEN,116026728,22786942.0,20.0,14.66
SMART,85350412,-9227712.0,-11.0,-3.79
KIMMR,18583858,-4317296.0,-23.0,-2.41
TUKAS,157899882,25292112.0,16.0,0.34
ENSRI,23382840,-545961.0,-2.0,-0.42
PAMEL,8081735,518948.0,6.0,5.77
ZPX30,255725554,68693126.0,27.0,38.74
VAKFN,303973337,-21225660.0,-7.000000000000001,-0.13
POLHO,29148978,-1421353.0,-5.0,-0.54
EMNIS,203932036,0.0,0.0,0.0
BERA,113122258,-22714841.0,-20.0,-3.25
DYOBY,144541062,1374407.0,1.0,0.23
TRILC,92489856,-12173069.0,-13.0,-2.4
ECILC,84788876,-6052298.0,-7.000000000000001,-3.06
KARSN,143438554,-1273606.0,-1.0,-0.1
LINK,57897560,5814120.0,10.0,47.84
MERCN,27801248,231256.0,1.0,0.12
AKGRT,126391134,-5026556.0,-4.0,-0.3
YESIL,151995595,20725830.0,14.000000000000002,0.2
HDFGS,445911555,49723666.0,11.0,0.24
ELITE,65422137,12824338.0,20.0,7.37
Z30KE,302858880,12677329.0,4.0,4.08
INTEM,11342636,1083812.0,10.0,19.96
MAGEN,72454348,10487313.0,14.000000000000002,3.31
CLEBI,124791586,-4579369.0,-4.0,-74.38
AKMGY,4906509,999605.0,20.0,42.42
YONGA,124572589,0.0,0.0,0.0
HURGZ,21860806,3273654.0,15.0,0.72
AKSUE,3008755,-122349.0,-4.0,-0.44
EGPRO,34984404,-261533.0,-1.0,-0.18
TMPOL,25652085,3312358.0,13.0,11.43
DOKTA,19553255,-1610421.0,-8.0,-1.86
BASGZ,16523152,1735177.0,11.0,3.13
ADEL,44265018,7986930.0,18.0,5.48
PETUN,18048426,-816288.0,-5.0,-0.45
BEYAZ,30243685,-3275617.0,-11.0,-2.66
ISSEN,5240851,-312161.0,-6.0,-0.51
PCILT,17950290,-325286.0,-2.0,-0.32
ULUFA,23954622,-1426647.0,-6.0,-0.96
AFYON,90904923,-13462728.0,-15.0,-2.24
KOZAA,428186538,66511312.0,16.0,11.33
EGEPO,21047308,-645019.0,-3.0,-0.75
EKIZ,114455827,0.0,0.0,0.0
BRISA,51616757,2572912.0,5.0,4.28
KORDS,48059886,-1316031.0,-3.0,-1.83
BRSAN,169703027,12474062.0,7.000000000000001,28.69
ENKAI,676111096,16460004.0,2.0,1.2
ISYAT,5463651,-227296.0,-4.0,-0.33
KAREL,31784987,-4060484.0,-13.0,-1.14
IZFAS,62625354,-7998963.0,-13.0,-8.9
SEKUR,7650412,2094271.0,27.0,3.22
KUTPO,16161870,3637374.0,23.0,16.6
EUYO,17138860,-1239910.0,-7.000000000000001,-0.86
MGROS,593393102,-94644580.0,-16.0,-94.36
MMCAS,98025864,0.0,0.0,0.0
AYGAZ,81523140,-3735172.0,-5.0,-6.91
MERIT,26244049,436509.0,2.0,0.24
LRSHO,68059629,-1039994.0,-2.0,-0.03
TBORG,8289474,-696220.0,-8.0,-10.86
DERHL,97741172,-22574916.0,-23.0,-4.22
ORCAY,11026961,-2597550.0,-24.0,-2.11
FRIGO,28897414,-1639349.0,-6.0,-0.46
TLMAN,27839823,3017257.0,11.0,9.98
TTKOM,1106011415,241330768.0,22.0,10.95
SNKRN,221309386,0.0,0.0,0.0
EDIP,21500872,-561161.0,-3.0,-0.52
RYSAS,37552647,-1178210.0,-3.0,-0.6
IHLAS,464339070,15648265.0,3.0,0.08
PAPIL,68438650,7091464.0,10.0,1.3
MEDTR,23144689,-2849291.0,-12.0,-5.57
ARENA,77984255,-1033913.0,-1.0,-0.46
GOODY,44031829,7107640.0,16.0,2.71
EPLAS,18064610,2686402.0,15.0,0.9
